Sample ID,KRN,Population,USDA PI accession#,Note
XBSA_3C5,19,USDA Extreme KRN accessions,PI642764,High KRN
XBSA_7C11,15,USDA Extreme KRN accessions,PI642765,Random KRN
XBSA_3D5,18,USDA Extreme KRN accessions,PI645772,High KRN
XBSA_3E5,21,USDA Extreme KRN accessions,PI648427,High KRN
XBSA_3F5,20,USDA Extreme KRN accessions,PI648428,High KRN
XBSA_1H1,23,USDA Extreme KRN accessions,PI648429,High KRN
XBSA_3G5,18,USDA Extreme KRN accessions,PI648431,High KRN
XBSA_3H5,18,USDA Extreme KRN accessions,PI648433,High KRN
BSLE_1A1,NA,BSLE,NA,C30SE
BSLE_1A10,NA,BSLE,NA,C30SE
BSLE_1A11,NA,BSLE,NA,C30SE
BSLE_1A12,NA,BSLE,NA,C30SE
BSLE_1A2,NA,BSLE,NA,C30SE
BSLE_1A3,NA,BSLE,NA,C30SE
BSLE_1A4,NA,BSLE,NA,C30SE
BSLE_1A5,NA,BSLE,NA,C30SE
BSLE_1A6,NA,BSLE,NA,C30SE
BSLE_1A7,NA,BSLE,NA,C30SE
BSLE_1A8,NA,BSLE,NA,C30SE
BSLE_1A9,NA,BSLE,NA,C30SE
BSLE_1B1,NA,BSLE,NA,C30SE
BSLE_1B10,NA,BSLE,NA,pBSLE
BSLE_1B11,NA,BSLE,NA,pBSLE
BSLE_1B12,NA,BSLE,NA,pBSLE
BSLE_1B2,NA,BSLE,NA,C30SE
BSLE_1B3,NA,BSLE,NA,C30SE
BSLE_1B4,NA,BSLE,NA,C30SE
BSLE_1B5,NA,BSLE,NA,C30SE
BSLE_1B6,NA,BSLE,NA,C30SE
BSLE_1B7,NA,BSLE,NA,C30SE
BSLE_1B8,NA,BSLE,NA,C30SE
BSLE_1B9,NA,BSLE,NA,pBSLE
BSLE_1C1,NA,BSLE,NA,C30SE
BSLE_1C10,NA,BSLE,NA,C30SE
BSLE_1C11,NA,BSLE,NA,C30SE
BSLE_1C12,NA,BSLE,NA,C30SE
BSLE_1C2,NA,BSLE,NA,C30SE
BSLE_1C3,NA,BSLE,NA,C30SE
BSLE_1C4,NA,BSLE,NA,C30SE
BSLE_1C5,NA,BSLE,NA,C30SE
BSLE_1C6,NA,BSLE,NA,C30SE
BSLE_1C7,NA,BSLE,NA,C30SE
BSLE_1C8,NA,BSLE,NA,C30SE
BSLE_1C9,NA,BSLE,NA,C30SE
BSLE_1D1,NA,BSLE,NA,C30SE
BSLE_1D10,NA,BSLE,NA,C30SE
BSLE_1D11,NA,BSLE,NA,C30SE
BSLE_1D12,NA,BSLE,NA,pBSLE
BSLE_1D2,NA,BSLE,NA,C30SE
BSLE_1D3,NA,BSLE,NA,C30SE
BSLE_1D4,NA,BSLE,NA,C30SE
BSLE_1D5,NA,BSLE,NA,C30SE
BSLE_1D6,NA,BSLE,NA,C30SE
BSLE_1D7,NA,BSLE,NA,C30SE
BSLE_1D8,NA,BSLE,NA,C30SE
BSLE_1D9,NA,BSLE,NA,C30SE
BSLE_1E1,NA,BSLE,NA,C30SE
BSLE_1E10,NA,BSLE,NA,C30SE
BSLE_1E11,NA,BSLE,NA,pBSLE
BSLE_1E12,NA,BSLE,NA,pBSLE
BSLE_1E2,NA,BSLE,NA,C30SE
BSLE_1E3,NA,BSLE,NA,C30SE
BSLE_1E4,NA,BSLE,NA,C30SE
BSLE_1E5,NA,BSLE,NA,C30SE
BSLE_1E6,NA,BSLE,NA,C30SE
BSLE_1E7,NA,BSLE,NA,C30SE
BSLE_1E8,NA,BSLE,NA,C30SE
BSLE_1E9,NA,BSLE,NA,C30SE
BSLE_1F1,NA,BSLE,NA,C30SE
BSLE_1F10,NA,BSLE,NA,C30SE
BSLE_1F11,NA,BSLE,NA,pBSLE
BSLE_1F12,NA,BSLE,NA,pBSLE
BSLE_1F2,NA,BSLE,NA,C30SE
BSLE_1F3,NA,BSLE,NA,C30SE
BSLE_1F4,NA,BSLE,NA,C30SE
BSLE_1F5,NA,BSLE,NA,C30SE
BSLE_1F6,NA,BSLE,NA,C30SE
BSLE_1F7,NA,BSLE,NA,C30SE
BSLE_1F8,NA,BSLE,NA,C30SE
BSLE_1F9,NA,BSLE,NA,C30SE
BSLE_1G1,NA,BSLE,NA,C30SE
BSLE_1G10,NA,BSLE,NA,C30SE
BSLE_1G11,NA,BSLE,NA,C30SE
BSLE_1G12,NA,BSLE,NA,C30SE
BSLE_1G2,NA,BSLE,NA,C30SE
BSLE_1G3,NA,BSLE,NA,C30SE
BSLE_1G4,NA,BSLE,NA,C30SE
BSLE_1G5,NA,BSLE,NA,C30SE
BSLE_1G6,NA,BSLE,NA,C30SE
BSLE_1G7,NA,BSLE,NA,C30SE
BSLE_1G8,NA,BSLE,NA,C30SE
BSLE_1G9,NA,BSLE,NA,C30SE
BSLE_1H1,NA,BSLE,NA,C30SE
BSLE_1H10,NA,BSLE,NA,pBSLE
BSLE_1H11,NA,BSLE,NA,C30SE
BSLE_1H12,NA,BSLE,NA,C30SE
BSLE_1H2,NA,BSLE,NA,C30SE
BSLE_1H3,NA,BSLE,NA,C30SE
BSLE_1H4,NA,BSLE,NA,C30SE
BSLE_1H5,NA,BSLE,NA,C30SE
BSLE_1H6,NA,BSLE,NA,C30SE
BSLE_1H7,NA,BSLE,NA,C30SE
BSLE_1H8,NA,BSLE,NA,C30SE
BSLE_1H9,NA,BSLE,NA,C30SE
BSLE_2A1,NA,BSLE,NA,C30SE
BSLE_2A10,NA,BSLE,NA,C30SE
BSLE_2A11,NA,BSLE,NA,pBSLE
BSLE_2A12,NA,BSLE,NA,pBSLE
BSLE_2A2,NA,BSLE,NA,C30SE
BSLE_2A3,NA,BSLE,NA,C30SE
BSLE_2A4,NA,BSLE,NA,C30SE
BSLE_2A5,NA,BSLE,NA,C30SE
BSLE_2A6,NA,BSLE,NA,C30SE
BSLE_2A7,NA,BSLE,NA,C30SE
BSLE_2A8,NA,BSLE,NA,C30SE
BSLE_2A9,NA,BSLE,NA,C30SE
BSLE_2B1,NA,BSLE,NA,C30SE
BSLE_2B10,NA,BSLE,NA,C30SE
BSLE_2B11,NA,BSLE,NA,pBSLE
BSLE_2B12,NA,BSLE,NA,pBSLE
BSLE_2B2,NA,BSLE,NA,C30SE
BSLE_2B3,NA,BSLE,NA,C30SE
BSLE_2B4,NA,BSLE,NA,C30SE
BSLE_2B5,NA,BSLE,NA,C30SE
BSLE_2B6,NA,BSLE,NA,C30SE
BSLE_2B7,NA,BSLE,NA,C30SE
BSLE_2B8,NA,BSLE,NA,C30SE
BSLE_2B9,NA,BSLE,NA,C30SE
BSLE_2C1,NA,BSLE,NA,C30LE
BSLE_2C10,NA,BSLE,NA,C30LE
BSLE_2C11,NA,BSLE,NA,pBSLE
BSLE_2C12,NA,BSLE,NA,pBSLE
BSLE_2C2,NA,BSLE,NA,C30LE
BSLE_2C3,NA,BSLE,NA,C30LE
BSLE_2C4,NA,BSLE,NA,C30LE
BSLE_2C5,NA,BSLE,NA,C30LE
BSLE_2C6,NA,BSLE,NA,C30LE
BSLE_2C7,NA,BSLE,NA,C30LE
BSLE_2C8,NA,BSLE,NA,C30LE
BSLE_2C9,NA,BSLE,NA,C30LE
BSLE_2D1,NA,BSLE,NA,C30LE
BSLE_2D10,NA,BSLE,NA,C30LE
BSLE_2D11,NA,BSLE,NA,pBSLE
BSLE_2D12,NA,BSLE,NA,pBSLE
BSLE_2D2,NA,BSLE,NA,C30LE
BSLE_2D3,NA,BSLE,NA,C30LE
BSLE_2D4,NA,BSLE,NA,C30LE
BSLE_2D5,NA,BSLE,NA,C30LE
BSLE_2D6,NA,BSLE,NA,C30LE
BSLE_2D7,NA,BSLE,NA,C30LE
BSLE_2D8,NA,BSLE,NA,C30LE
BSLE_2D9,NA,BSLE,NA,C30LE
BSLE_2E1,NA,BSLE,NA,C30LE
BSLE_2E10,NA,BSLE,NA,pBSLE
BSLE_2E11,NA,BSLE,NA,pBSLE
BSLE_2E12,NA,BSLE,NA,C30LE
BSLE_2E2,NA,BSLE,NA,C30LE
BSLE_2E3,NA,BSLE,NA,C30LE
BSLE_2E4,NA,BSLE,NA,C30LE
BSLE_2E5,NA,BSLE,NA,C30LE
BSLE_2E6,NA,BSLE,NA,C30LE
BSLE_2E7,NA,BSLE,NA,C30LE
BSLE_2E8,NA,BSLE,NA,C30LE
BSLE_2E9,NA,BSLE,NA,C30LE
BSLE_2F1,NA,BSLE,NA,C30LE
BSLE_2F10,NA,BSLE,NA,C30LE
BSLE_2F11,NA,BSLE,NA,C30LE
BSLE_2F12,NA,BSLE,NA,C30LE
BSLE_2F2,NA,BSLE,NA,C30LE
BSLE_2F3,NA,BSLE,NA,C30LE
BSLE_2F4,NA,BSLE,NA,C30LE
BSLE_2F5,NA,BSLE,NA,C30LE
BSLE_2F6,NA,BSLE,NA,C30LE
BSLE_2F7,NA,BSLE,NA,C30LE
BSLE_2F8,NA,BSLE,NA,C30LE
BSLE_2F9,NA,BSLE,NA,C30LE
BSLE_2G1,NA,BSLE,NA,C30LE
BSLE_2G10,NA,BSLE,NA,C30LE
BSLE_2G11,NA,BSLE,NA,C30LE
BSLE_2G12,NA,BSLE,NA,C30LE
BSLE_2G2,NA,BSLE,NA,C30LE
BSLE_2G3,NA,BSLE,NA,C30LE
BSLE_2G4,NA,BSLE,NA,C30LE
BSLE_2G5,NA,BSLE,NA,C30LE
BSLE_2G6,NA,BSLE,NA,C30LE
BSLE_2G7,NA,BSLE,NA,C30LE
BSLE_2G8,NA,BSLE,NA,C30LE
BSLE_2G9,NA,BSLE,NA,C30LE
BSLE_2H1,NA,BSLE,NA,C30LE
BSLE_2H10,NA,BSLE,NA,C30LE
BSLE_2H11,NA,BSLE,NA,C30LE
BSLE_2H12,NA,BSLE,NA,C30LE
BSLE_2H2,NA,BSLE,NA,C30LE
BSLE_2H3,NA,BSLE,NA,C30LE
BSLE_2H4,NA,BSLE,NA,C30LE
BSLE_2H5,NA,BSLE,NA,C30LE
BSLE_2H6,NA,BSLE,NA,C30LE
BSLE_2H7,NA,BSLE,NA,C30LE
BSLE_2H8,NA,BSLE,NA,C30LE
BSLE_2H9,NA,BSLE,NA,C30LE
BSLE_3A1,NA,BSLE,NA,C30LE
BSLE_3A10,NA,BSLE,NA,C30LE
BSLE_3A11,NA,BSLE,NA,C30LE
BSLE_3A12,NA,BSLE,NA,C30LE
BSLE_3A2,NA,BSLE,NA,C30LE
BSLE_3A3,NA,BSLE,NA,C30LE
BSLE_3A4,NA,BSLE,NA,C30LE
BSLE_3A5,NA,BSLE,NA,C30LE
BSLE_3A6,NA,BSLE,NA,C30LE
BSLE_3A7,NA,BSLE,NA,C30LE
BSLE_3A8,NA,BSLE,NA,C30LE
BSLE_3A9,NA,BSLE,NA,C30LE
BSLE_3B1,NA,BSLE,NA,C30LE
BSLE_3B10,NA,BSLE,NA,C30LE
BSLE_3B11,NA,BSLE,NA,C30LE
BSLE_3B12,NA,BSLE,NA,C30LE
BSLE_3B2,NA,BSLE,NA,C30LE
BSLE_3B3,NA,BSLE,NA,C30LE
BSLE_3B4,NA,BSLE,NA,C30LE
BSLE_3B5,NA,BSLE,NA,C30LE
BSLE_3B6,NA,BSLE,NA,C30LE
BSLE_3B7,NA,BSLE,NA,C30LE
BSLE_3B8,NA,BSLE,NA,C30LE
BSLE_3B9,NA,BSLE,NA,C30LE
BSLE_3C1,NA,BSLE,NA,C30LE
BSLE_3C10,NA,BSLE,NA,C30LE
BSLE_3C11,NA,BSLE,NA,C30LE
BSLE_3C12,NA,BSLE,NA,C30LE
BSLE_3C2,NA,BSLE,NA,C30LE
BSLE_3C3,NA,BSLE,NA,C30LE
BSLE_3C4,NA,BSLE,NA,C30LE
BSLE_3C5,NA,BSLE,NA,C30LE
BSLE_3C6,NA,BSLE,NA,C30LE
BSLE_3C7,NA,BSLE,NA,C30LE
BSLE_3C8,NA,BSLE,NA,C30LE
BSLE_3C9,NA,BSLE,NA,C30LE
BSLE_3D1,NA,BSLE,NA,C30LE
BSLE_3D10,NA,BSLE,NA,C30LE
BSLE_3D11,NA,BSLE,NA,C30LE
BSLE_3D12,NA,BSLE,NA,C30LE
BSLE_3D2,NA,BSLE,NA,C30LE
BSLE_3D3,NA,BSLE,NA,C30LE
BSLE_3D4,NA,BSLE,NA,C30LE
BSLE_3D5,NA,BSLE,NA,C30LE
BSLE_3D6,NA,BSLE,NA,C30LE
BSLE_3D7,NA,BSLE,NA,C30LE
BSLE_3D8,NA,BSLE,NA,C30LE
BSLE_3D9,NA,BSLE,NA,C30LE
BSLE_3E1,NA,BSLE,NA,C0
BSLE_3E10,NA,BSLE,NA,C0
BSLE_3E11,NA,BSLE,NA,C0
BSLE_3E12,NA,BSLE,NA,C0
BSLE_3E2,NA,BSLE,NA,C0
BSLE_3E3,NA,BSLE,NA,C0
BSLE_3E4,NA,BSLE,NA,C0
BSLE_3E5,NA,BSLE,NA,C0
BSLE_3E6,NA,BSLE,NA,C0
BSLE_3E7,NA,BSLE,NA,C0
BSLE_3E8,NA,BSLE,NA,C0
BSLE_3E9,NA,BSLE,NA,C0
BSLE_3F1,NA,BSLE,NA,C0
BSLE_3F10,NA,BSLE,NA,C0
BSLE_3F11,NA,BSLE,NA,C0
BSLE_3F12,NA,BSLE,NA,C0
BSLE_3F2,NA,BSLE,NA,C0
BSLE_3F3,NA,BSLE,NA,C0
BSLE_3F4,NA,BSLE,NA,C0
BSLE_3F5,NA,BSLE,NA,C0
BSLE_3F6,NA,BSLE,NA,C0
BSLE_3F7,NA,BSLE,NA,C0
BSLE_3F8,NA,BSLE,NA,C0
BSLE_3F9,NA,BSLE,NA,C0
BSLE_3G1,NA,BSLE,NA,C0
BSLE_3G10,NA,BSLE,NA,C0
BSLE_3G11,NA,BSLE,NA,C0
BSLE_3G12,NA,BSLE,NA,C0
BSLE_3G2,NA,BSLE,NA,C0
BSLE_3G3,NA,BSLE,NA,C0
BSLE_3G4,NA,BSLE,NA,C0
BSLE_3G5,NA,BSLE,NA,C0
BSLE_3G6,NA,BSLE,NA,C0
BSLE_3G7,NA,BSLE,NA,C0
BSLE_3G8,NA,BSLE,NA,C0
BSLE_3G9,NA,BSLE,NA,C0
BSLE_3H1,NA,BSLE,NA,pBSLE
BSLE_3H10,NA,BSLE,NA,pBSLE
BSLE_3H11,NA,BSLE,NA,NA
BSLE_3H12,NA,BSLE,NA,NA
BSLE_3H2,NA,BSLE,NA,pBSLE
BSLE_3H3,NA,BSLE,NA,pBSLE
BSLE_3H4,NA,BSLE,NA,pBSLE
BSLE_3H5,NA,BSLE,NA,pBSLE
BSLE_3H6,NA,BSLE,NA,pBSLE
BSLE_3H7,NA,BSLE,NA,pBSLE
BSLE_3H8,NA,BSLE,NA,pBSLE
BSLE_3H9,NA,BSLE,NA,pBSLE

