<Trait>	20KernelWeight	CobColor	CobDiameter	CobDiameter	CobWeight	CobWeight	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	EarDiameter	EarDiameter	EarLength	EarLength	EarRankNumber	EarRankNumber	EarRowNumber	EarRowNumber	EarWeight	EarWeight	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	HerbicideSensitivity	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafSheathLength	LeafWidth-BorderPlant	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	NorthernLeafBlight-IncubationPeriod	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight	NumberofLeaves	NumberofTilleringPlants	NumberofTilleringPlants	Phylotaxy	RowQuality	RowQuality	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SeedSetLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselSterility	TilleringIndex-BorderPlant	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TotalKernelVolume	TotalKernelVolume	UpperLeafAngle-BorderPlant	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle
Z011E0084	3.15	0	30	22.065	11	11.4	72	94	66	53	77	69	65	78	-999	62	72	86	65	52	73	66	63	74	-999	60	34	35.715	70	116.225	21	19	18	14.5	55.8	32.35	11	5	4	1	-999	4	1	-999	750	590	751	427	705	843	583	758	-999	-999	-999	81	45	82	37	59	77	60	51	-999	278	218	267	203	279	241	260	210	40	-999	30	-999	47.5	-999	-999	-999	-999	-999	7	6.5	0	-999	-999	2	-999	-999	-999	0	0	-999	59	28	19	18	17	4	7	7	5	9	7	-999	-999	243	242	377	304	357	258	349	295	392	342	10	10	15	6	9	11	10	12	-999	0	0	0	0	-999	72	47.5	35	45	20	55	40	55	40	55	55	70
Z011E0085	-999	0	29	-999	18.4	-999	82	89	73	59	83	70	67	85	-999	67	75	88	70	59	80	68	65	82	-999	65	38	-999	103	-999	20	-999	18	-999	81.3	-999	6	1	7	1	-999	5	4	-999	717	768	758	663	759	755	676	746	832	-999	-999	74	82	98	78	59	97	78	77	98	242	297	264	102	166	228	240	308	37.5	52.5	40	-999	-999	-999	-999	-999	-999	-999	-999	5	0	-999	200	3	-999	-999	-999	0	4	-999	87	20	29	10	15	6	6	5	7	5	5	-999	-999	142	244	386	439	340	176	274	319	378	429	17	10	10	10	13	9	14	15	-999	0	0	1	1	-999	104	-999	-999	55	55	40	40	55	37.5	50	40	50
Z011E0086	3.835	0	34	27.77	8.8	14.54	69	83	62	54	72	62	64	74	-999	62	67	80	62	53	71	63	62	74	-999	60	36	39.16	72	136.26	19	26	14	16	43.7	79.195	7	9	9	3	5	9	0	-999	638	685	778	628	752	675	617	754	-999	-999	-999	61	60	76	60	71	61.5	59	63	-999	163	246	173	131	-999	156	193	-999	60	57.5	60	-999	45	-999	-999	15	-999	20	7	5	0	5.666666667	192.5	2	-999	-999	-999	-999	0	-999	51	24	23	10	14	8	6	9	7	9	7	-999	-999	-999	136	221	370	277	188	-999	280	315	-999	12	10	9	7	-999	20	17	-999	-999	0	0	1	0	1.666666667	50	90	-999	50	80	75	70	75	77.5	55	65	-999
Z011E0087	3.81	0	25	27.27	12.5	16.06	77	98	75	60	87	73	73	85	-999	71	77	97	74	60	80	70	71	83	-999	68	36	40.355	78	140.53	14	29	14	17	47.9	90.845	8	4	12	5	9	4	1	-999	823	855	910	720	844	830	891	869	802	-999	-999	77	64	91	73	73	78	83	77	78	287	308	270	176	267	241	280	237	62.5	45	55	-999	60	-999	-999	21	-999	20	4	5	0	1.5	-999	2	-999	-999	-999	0	1	-999	67	18	23	14	8	8	6	8	5	5	8	-999	-999	194	242	391	444	406	262	370	311	370	325	10	8	11	7	8	9	11	11	-999	0	0	0	0	1	50	95	80	80	85	70	70	75	65	75	85	75
Z011E0088	2.965	0	28	35.37	16.9	17.225	74	97	65	57	77	66	-999	79	-999	67	74	91	65	57	73	65	-999	75	-999	67	34	48.975	93	110.945	20	19.5	22	25	91	60.75	7	5	8	2	7	7	0	-999	588	629	742	680	803	767	756	603	-999	-999	86	64	63	81	77	70	78	82	72	-999	232	224	205	210	-999	167	192	-999	40	57.5	60	-999	40	-999	-999	19	-999	13.33333333	3	5.5	0	1	-999	2	-999	-999	-999	-999	2	-999	98	18	37	12	16	5	8	9	2	8	5	-999	-999	-999	166	325	301	281	252	-999	263	281	-999	7	6	10	7	-999	16	12	-999	-999	0	0	0	0	1	110	82.5	80	85	75	80	70	80	80	75	75	-999
Z011E0089	-999	0	36	-999	13.2	-999	73	88	70	55	76	70	67	78	-999	63	73	84	66	52	74	66	64	75	-999	62	39	-999	68	-999	11	-999	15	-999	57.1	-999	5	6	9	3	7	4	0	-999	875	862	991	821	883	896	812	798	-999	-999	71	66	68	79	78	71	78	75	66	-999	246	247	270	229	-999	187	283	-999	25	35	45	-999	45	-999	-999	18	-999	17.5	-999	5.5	0	4	-999	1	-999	-999	-999	2	3	-999	31	13	29	11	22	6	7	13	4	4	10	-999	-999	232	138	310	381	354	304	-999	304	404	-999	7	15	11	8	11	15	11	-999	-999	0	0.5	1	1	1	62	-999	65	60	55	65	40	55	55	60	-999	-999
Z011E0090	3.6	0	24	25.9	7	11.85	71	86	67	55	75	66	67	76	-999	63	71	85	65	55	73	65	64	75	-999	61	39	37.44	53	113.47	17	23	13	16	40.8	48.2	10	3	7	2	-999	6	0	-999	614	653	698	666	-999	646	537	646	-999	-999	67	60	61	82	80	79	80	79	73	-999	183	225	163	156	-999	158	143	-999	52.5	47.5	40	-999	50	-999	-999	-999	-999	-999	3	5.5	0	3	-999	3	-999	-999	-999	-999	2	-999	55	28	29	13	14	5	4	11	6	5	8	-999	-999	-999	146	268	258	241	222	-999	237	246	-999	9	5	7	7	-999	6	11	-999	-999	0	0	0	0	1	50	80	70	70	55	70	50	70	70	30	65	-999
Z011E0091	-999	0	29	-999	11.7	-999	78	87	72	62	87	72	71	82	-999	70	80	85	69	61	82	69	71	82	-999	67	49	-999	68	-999	14	-999	16	-999	65.2	-999	5	8	11	4	4	5	3	-999	817	1021	927	820	-999	-999	838	940	1002	168	91	72	75	74	68	87	-999	86	85	99	237	298	231	282	266	238	295	-999	60	75	75	-999	77.5	-999	-999	16	-999	-999	5	4.5	0	1	-999	2	3	-999	-999	3	3	-999	33	18	24	10	13	7	7	9	7	5	6	-999	-999	214	256	343	442	358	366	402	368	405	-999	11	12	10	7	7	8	10	-999	-999	0	0	0	0	1	80	-999	75	80	85	75	60	80	85	70	70	-999
Z011E0092	4.725	0	29	26.155	21.6	17.19	70	84	65	54	76	64	64	73	-999	63	72	84	67	-999	75	65	62	73	-999	62	36	38.225	121	115.13	19	19.5	13	13	67	67.05	13	6	12	4	3	10	2	-999	693	784	724	-999	790	710.5	674	777	-999	-999	-999	92	86	86	74	71	81	82	74	-999	256	308	211	-999	-999	176	285	338	57.5	60	60	-999	65	-999	-999	22	-999	15	7	4.5	0	4	97.5	2	-999	-999	-999	-999	1	-999	91	27	18	12	11	7	6	5	7	-999	13	-999	-999	-999	166	337	365	276	-999	-999	269	378	352	5	4	6	4	-999	7	10	9	1	0	0.5	0	0	1	55	67.5	80	80	75	55	55	-999	60	50	80	-999
Z011E0093	4.175	0	31	26.035	17.9	17.07	79	91	71	56	82	72	71	80	-999	67	78	91	71	56	80	72	73	79	-999	65	41	38.865	94	128.095	13	24.5	17	14	64.2	62.815	6	3	11	1	6	8	1	-999	743	917	770	680	669	855	686	870	-999	-999	101	96	94	93	89	92	103	90	100	-999	284	310	301	-999	-999	287	280	-999	60	67.5	35	-999	30	-999	-999	20	-999	20	5	5	0	4	-999	2	4	-999	-999	2	3	-999	57	20	24	9	10	5	9	9	5	8	9	-999	-999	-999	240	385	476	425	-999	-999	385	381	-999	9	10	9	4	6	10	13	-999	-999	0	0	0	0	1	60	67.5	-999	-999	85	80	55	-999	80	80	75	-999
Z011E0094	-999	0	30	-999	18.6	-999	74	-999	71	60	85	69	71	83	-999	67	74	-999	71	59	77	69	70	80	-999	66	46	-999	119	-999	28	-999	20	-999	82	-999	4	0	6	1	-999	2	0	-999	679	-999	754	-999	-999	868	787	816	-999	-999	74	67	-999	92	-999	74	88	71	82	-999	261	-999	271	240	300	264	371	-999	65	-999	60	-999	65	-999	-999	-999	-999	-999	-999	4.5	0	-999	-999	-999	-999	-999	-999	0	1	-999	116	23	25	15	30	3	3	4	5	2	9	-999	-999	249	242	350	-999	352	325	383	338	430	-999	8	-999	9	6	8	8	5	-999	-999	0	-999	0	0	-999	150	-999	70	75	-999	70	65	75	75	70	80	-999
Z011E0095	4.67	0	19.5	25.45	11.7	14.05	74	86	66	56	79	68	68	79	-999	64	74	88	71	58	79	67	68	81	-999	65	22.5	38.28	78	109.095	17	23.5	12	12	43.1	67.69	7	7	9	6	-999	9	1	-999	659	807	792	646	759	-999	745	856	-999	142	88	77	95	95	75	95	-999	81	91	-999	286	297	236	193	258	248	214	-999	30	45	20	-999	-999	-999	-999	-999	-999	-999	4	4	0	2	185	2	4	-999	-999	1	1	-999	51	16	26	11	15	7	9	9	7	8	10	-999	-999	171	146	308	385	274	242	306	316	307	-999	3	4	3	3	3	5	3	-999	-999	0	0	0	0	1	30	72.5	70	65	70	65	10	65	45	75	70	-999
Z011E0096	4.975	0	25	27.085	16	16.375	75	90	66	55	75	69	67	79	-999	63	75	86	65	-999	74	68	65	78	-999	62	34	42.355	78	118.73	17	22	14	16	-999	80.94	9	7	9	4	4	9	2	-999	614	543	679	644	708	686	682	657	713	-999	87	75	67	83	57	67	86	79	90	91	180	206	190	-999	-999	131	179	196	60	70	70	-999	55	-999	-999	19	-999	23.33333333	3	5	0	1	-999	1	-999	-999	-999	-999	5	-999	54	18	16	12	21	5	8	9	6	8	10	-999	-999	-999	192	300	279	287	-999	-999	277	261	339	7	8	10	-999	-999	11	7	8	-999	0	0	0	0	1	90	90	70	70	65	50	40	70	50	65	60	65
Z011E0097	5.285	0	28	27.655	11	16.875	79	88	70	60	82	69	69	81	-999	65	79	87	69	62	80	69	67	79	-999	65	32	42.815	77	121.955	20	23.5	13	14.5	38.6	61.37	7	5	10	4	3	7	0	-999	824	914	820	758	896	861	807	896	-999	159	68	73	90	90	76	83	82	91	60	-999	239	263	241	-999	-999	217	248	-999	50	57.5	70	-999	-999	-999	-999	14	-999	20	4	4	0	2	-999	2	3	-999	-999	-999	3	-999	46	19	20	14	14	6	9	4	5	6	10	-999	-999	-999	188	327	357	326	-999	-999	319	344	-999	8	8	11	12	-999	11	8	-999	-999	0	0	0	0	2	50	62.5	75	80	80	65	55	75	70	70	70	-999
Z011E0098	3.865	-999	-999	25.215	-999	15.185	75	95	66	57	76	66	64	77	-999	67	72	93	65	57	75	65	62	76	-999	65	-999	39.635	-999	124.04	-999	21.5	-999	16	-999	56.555	2	2	9	5	-999	6	0	-999	663	757	769	485	835	734.5	785	748	-999	-999	88	82	61	86	47	87	86	96	78	-999	236	297	245	233	-999	174	239	-999	45	42.5	45	-999	60	-999	-999	-999	-999	-999	4	5	3	1.666666667	135	2	-999	-999	-999	2	3	-999	-999	33	27	11	12	8	8	6	6	6	9	-999	-999	-999	210	336	420	357	347	-999	301	375	-999	9	9	13	14	14	17	13	-999	-999	2	0	1	0	1.333333333	-999	70	-999	70	85	75	55	75	77.5	80	55	-999
Z011E0099	3.685	-999	-999	30.955	-999	15.77	75	86	68	55	75	64	64	78	-999	64	75	85	69	-999	76	66	62	79	-999	65	-999	41.73	-999	121.38	21	24.5	12	17.5	-999	62.635	8	6	10	5	8	7	3	-999	524	824	666	638	664	782	656	693	645	-999	74	62	80	73	64	81	87	65	84	83	205.5	254	247	231	-999	220	249	200	42.5	42.5	50	-999	45	-999	-999	18	-999	16.66666667	4	5	0	4.333333333	185	2	-999	-999	-999	-999	2	-999	-999	17	23	14	12	7	6	8	7	7	13	-999	-999	-999	200	320	365	334	296	-999	299	357	296	7.5	8	7	5	-999	11	5	7	-999	0	0	1	0	1.666666667	-999	63.5	70	60	37.5	70	80	65	55	40	70	60
Z011E0100	4.01	0	28	28.44	11.9	11.47	77	91	66	57	78	66	65	75	-999	65	77	91	65	-999	76	67	63	74	-999	65	33	41.19	87	116.39	22	17.5	12	15	50.9	46.05	9	3	9	3	-999	10	1	-999	564	601	786	-999	757	766	655	666	828	121	95	101	77	96	86	96	99	97	90	91	169	214	186	151	-999	178	179	-999	55	47.5	45	-999	50	-999	-999	-999	-999	-999	3	5	0	2	255	3	3	-999	-999	-999	3	-999	64	14	24	13	13	7	7	9	7	9	14	-999	-999	-999	168	294	303	314	231	-999	276	321	-999	12	8	15	11	-999	17	14	-999	-999	0	0	0	0	1	60	57.5	65	75	65	75	55	75	85	70	80	-999
Z011E0101	3.875	0	24	25.045	15.1	17.545	75	84	67	55	76	68	68	79	-999	63	75	84	68	56	75	68	67	79	-999	63	38	36.97	105	141.585	26	30	14	16	76.1	92.445	17	7	12	6	-999	12	1	-999	562	786	691	706	801	667	628	712	786	-999	92	86	90	84	78	85	80	74	75	103	228	197	215	180	166	194	212	-999	47.5	60	70	-999	55	-999	-999	-999	-999	-999	4	4.5	0	2	-999	1	-999	-999	-999	0	2	-999	84	30	39	12	20	6	7	13	6	9	13	-999	-999	131	178	296	272	320	216	247	268	289	-999	7	-999	8	4	9	7	5	-999	-999	0	0	0	0	1	80	95	50	55	30	70	35	75	60	45	50	-999
Z011E0102	4.05	0	30	29.63	33.1	22.745	71	81	68	53	77	69	65	76	-999	61	71	81	65	-999	74	64	-999	74	-999	59	-999	41.27	-999	149.39	28	30	16	16	-999	90.16	17	10	7	1	2	9	3	-999	582	664	777	-999	828	790	640	721	824	-999	-999	82	72	92	-999	77	87	73	74	93	190	311	202	-999	-999	228	291	297	35	42.5	15	-999	45	-999	-999	16	-999	20	5	5	0	-999	110	2	-999	-999	-999	-999	2	-999	-999	20	18	12	12	6	8	6	7	10	10	-999	-999	-999	205	324	411	330	-999	-999	331	398	409	7	5	12	-999	-999	7	5	7	1	0	0	0	0	-999	60	97.5	-999	50	80	60	-999	80	75	70	65	65
Z011E0103	3.275	0	33	27.475	9.4	9.71	74	89	66	56	78	68	65	85	-999	64	74	84	65	55	76	66	62	82	-999	61	34	38.78	86	97.955	15	16.5	19	16	42.5	41.99	11	7	9	3	8	4	4	-999	719	769	786	736	766	774	850	837	878	126	77	88	74	83	68	75	93	82	92	80	231	258	243	186	-999	175	207	177	50	52.5	50	-999	50	-999	-999	20	-999	-999	4	4.5	0	-999	222.5	2	4	-999	-999	-999	6	-999	39	26	28	17	10	7	8	8	5	-999	11	-999	-999	-999	146	331	320	300	283	-999	287	341	323	15	14	10	11	-999	16	13	17	-999	0	0	1	0	-999	70	47.5	80	70	65	80	55	80	65	80	70	65
Z011E0104	-999	0	-999	26.955	10.2	13.55	72	89	65	53	72	64	65	74	-999	60	72	87	65	-999	73	65	62	74	-999	59	37	40.125	71	116.145	12	-999	10	-999	34.4	-999	15	8	10	5	-999	12	6	-999	678	639	681	712	758	641	718	699	678	-999	67	67	39	66	68	49	59	69	71	82	183	300	240	174	-999	193	278	252	47.5	35	30	-999	35	-999	-999	-999	-999	-999	7	4.5	0	2.333333333	-999	2	-999	-999	-999	-999	2	-999	49	-999	14	-999	8	6	8	10	7	13	13	-999	-999	-999	198	300	380	306	264	-999	320	365	359	6	6	5	5	-999	8	7	9	-999	0	0	0	1	1.333333333	35	-999	60	55	45	45	25	65	30	45	55	65
Z011E0105	3.95	0	31	29.48	10.6	18.5	72	84	67	56	73	68	65	74	-999	63	72	84	66	57	73	66	63	72	-999	62	33	39.62	56	118.69	13	20.5	10	15	32.5	54.8	6	8	9	3	7	6	2	-999	738	831	741	724	707	837	566	810	761	-999	-999	71	80	73	82	66	88	57	77	77	274	245	170	158	-999	165	158	193	45	52.5	40	-999	50	-999	-999	20	-999	26.66666667	5	5.5	0	3.333333333	-999	3	-999	-999	-999	1	3	-999	44	26	34	10	13	8	4	7	4	5	6	-999	-999	-999	180	391	350	272	265	-999	300	344	299	12	10	7	11	10	12	16	3	-999	0	0	1	1	2.333333333	30	50	35	65	65	65	-999	50	35	30	55	75
Z011E0106	5.1	0	31	29.72	12.8	19.5	76	90	67	55	77	68	64	76	-999	63	74	90	68	-999	77	67	61	76	-999	62	38	42.735	67	114.805	20	23	17	14	66.8	81.55	9	7	9	4	9	16	4	-999	683	688	716	-999	687	687	732	664	778	122	92.5	83	96	101	-999	77	107	107	100	109	205	207	207	166	-999	168	168	191	52.5	42.5	25	-999	55	-999	-999	14	-999	20	4	5	0	4	135	3	4	-999	-999	0	1	-999	50	28	29	13	15	6	9	6	7	15	11	-999	-999	-999	148	287	286	277	222	-999	246	264	255	11	7	8	6	9	7	8	6	-999	0	0	0	0	1	75	77.5	55	70	65	60	20	65	50	60	55	50
Z011E0107	-999	-999	-999	25.225	-999	10.95	82	91	74	62	85	72	73	82	-999	70	82	89	72	-999	81	69	70	82	-999	69	-999	-999	-999	94.545	-999	-999	-999	-999	-999	-999	3	2	6	2	-999	2	0	-999	740	864	799	-999	-999	865	748	887	-999	-999	62	63	83	83	-999	75	80	87	92	-999	220	284	211	181	-999	247	258	-999	-999	62.5	30	-999	45	-999	-999	-999	-999	-999	5	4.5	0	1.5	-999	2	-999	-999	-999	-999	3	-999	-999	19	23	12	10	5	5	4	6	2	4	-999	-999	-999	228	287	448	353	287	-999	329	351	-999	5	11	10	9	-999	8	4	-999	-999	0	0	1	0	2	-999	-999	80	-999	85	80	50	80	75	70	80	-999
Z011E0108	3.915	0	30	28.215	10.8	13.48	75	-999	66	56	76	67	64	75	-999	62	72	-999	66	55	74	67	62	75	-999	62	37	44.245	63	120.59	12	23	12	20	39	80.325	2	5	12	3	9	5	3	-999	559	688	759	640	769.5	802	763	793	680	-999	64	73	73	77	63	87.5	87	91	79	85	220	292	236	171	167	207	217	251	37.5	27.5	40	-999	35	-999	-999	23	-999	13.33333333	4	5	0	2.666666667	125	4	-999	-999	-999	3	2	-999	49	25	26	14	17	8	9	6	5	3	5	-999	-999	161	190	318	373	304	256	290	318	335	354	10	7	9	6	12	14	10	9	-999	0	1	0	0	2	45	97.5	65	75	75	60	45	70	70	65	80	55
Z011E0109	5.115	0	35	29.1	15.2	19.305	75	98	74	58	80	72	69	82	-999	67	75	90	69	-999	79	67	64	82	-999	65	38	41.635	66	121.515	12	12.5	16	14.5	50.4	53.79	6	11	10	3	6	10	1	-999	789	800	825	752	868	830	924	824	-999	151	113	90	87	93	80	90	108	107	76	-999	231	340	282	256	239.5	140	224	-999	45	52.5	30	-999	60	-999	-999	20	-999	13.33333333	4	4	0	1	-999	3	4	-999	-999	3	6	-999	30	17	22	15	10	8	8	15	7	9	13	-999	-999	183	152	412	452	381	333	377.5	351	363	-999	18	12	10	9	12	15	11	-999	-999	0	0	0	1	1	60	50	85	85	80	80	70	80	85	65	70	-999
Z011E0110	5.24	0	21	29.75	12.2	23.785	73	85	68	59	78	72	64	79	-999	69	73	86	69	-999	78	69	62	79	-999	68	25	43.525	102	160.04	24	27.5	13	14.5	71.4	104.2	11	6	9	4	8	9	6	-999	546	791	825	669	742	724	673	729	848	131	88	76	95	87	71	76	89	79	81	86	202	217	242	-999	-999	207	191	197	40	35	40	-999	60	-999	-999	18	-999	20	7	6	2	1	232.5	2	3	-999	-999	-999	1	-999	109	27	30	14	20	5	7	7	7	9	5	-999	-999	-999	136	304	301	318	-999	-999	299	292	293	14	11	9	6	-999	7	9	14	2	1	0	0	0	2	95	112.5	65	75	55	55	10	65	65	35	65	-999
Z011E0111	4.95	0	30	29.06	22.8	20.3	71	80	65	54	73	65	64	73	-999	63	71	80	65	-999	72	65	62	73	-999	63	43	45.995	115	139.575	16	18.5	16	20	88.6	76.5	10	8	12	4	9	11	1	-999	745	863	756	699	863	846	667	887	-999	-999	88	101	90	90	75	80	97	94	86	-999	-999	275	213	-999	-999	225	244	-999	-999	47.5	60	-999	35	-999	-999	18	-999	6.5	5	4.5	7	4	160	3	-999	-999	-999	-999	1	-999	107	27	24	14	12	6	7	9	6	10	7	-999	-999	-999	176	-999	371	301	-999	-999	296	398	-999	-999	7	7	10	-999	13	14	-999	-999	1	1.5	1	0	1.333333333	95	82.5	55	60	40	40	50	75	50	55	60	-999
Z011E0112	2.75	0	22	24.63	9.3	9.85	76	95	70	-999	80	68	67	83	-999	67	75	88	69	-999	76	66	64	80	-999	66	23.5	34.55	52	86.69	13	16	13	18	39.2	33.35	8	2	8	2	-999	2	0	-999	715	607	720	623	651	737	600	733	-999	-999	-999	65	61	74	65	61	65	58	74	-999	227	-999	227	172	-999	190	240	-999	32.5	-999	65	-999	37.5	-999	-999	-999	-999	-999	4	5	1	-999	-999	4	-999	-999	-999	-999	1	-999	57	24	32	14	15	6	3	9	4	2	8	-999	-999	-999	136	294	-999	292	231	-999	257	331	-999	11	-999	8	6	-999	12	12	-999	-999	1	0	0	0	-999	45	30	55	30	-999	50	45	-999	60	45	40	-999
Z011E0113	4	0	25	27.705	14.8	17.4	73	90	69	55	77	68	64	77	-999	62	73	88	69	-999	77	68	61	78	-999	63	35	40.96	94	136.715	11	27.5	12	16	38	87.1	11	8	10	6	9	5	0	-999	714	742	752	631	831	687	866	744	-999	-999	83	80	74	89	74	85	103	85	98	-999	221	257	239	212	-999	195	195	-999	42.5	52.5	30	-999	60	-999	-999	19	-999	33.33333333	4	5.666666667	0	1	-999	3	-999	-999	-999	-999	0	-999	93	15	13	11	12	5	7	11	5	4	10	-999	-999	-999	200	316	353	332	280	-999	286	298	-999	8	8	7	6	-999	5	8	-999	-999	0	1.5	1	0	1	35	97.5	35	55	55	60	40	50	40	-999	75	-999
Z011E0114	3.615	-999	26	22.4	9	9.16	67	84	63	53	72	63	65	-999	-999	60	67	83	63	53	70	63	62	-999	-999	60	38	33.925	94	115.4	26	-999	11	14.5	51.5	-999	15	9	10	6	9	-999	0	-999	425	547	567	537	630	408	519	580	-999	111	74	59	68	74	66	74	55	65	74	-999	230	290	250	-999	200	209	265	-999	47.5	42.5	30	-999	47.5	-999	-999	16	-999	23.33333333	4	-999	6	-999	175	1	4	-999	-999	0	0	-999	76	23	36	10	13	6	-999	7	7	-999	13	-999	-999	149	158	291	333	286	-999	267	269	308	-999	5	5	5	3	5	8	5	-999	-999	2	3.5	0	1	-999	60	-999	-999	30	42.5	40	50	65	47.5	45	55	-999
Z011E0115	4.69	-999	-999	27.545	-999	15.41	71	87	66	55	73	67	65	74	-999	62	71	84	66	-999	72	67	63	74	-999	60	-999	39.485	-999	118.77	19	13	15	15	-999	45.34	8	6	7	1	6	8	2	-999	704	629	750	586	770	776	747	694	818	-999	76.5	78	62	83	60	81	-999	81	69	83	227	195	242	172	-999	224	240	-999	50	37.5	30	-999	45	-999	-999	18	-999	15	4	4.5	0	-999	185	1	-999	-999	-999	-999	1	-999	-999	13	18	13	10	5	6	10	6	9	12	-999	-999	-999	228	299	249	332	257	-999	309	341	-999	8	4	6	6	-999	8	8	-999	-999	0	0	1	1	-999	-999	42.5	85	65	70	70	55	65	62.5	70	70	-999
Z011E0116	4.015	0	30	28.365	20.5	21.51	73	-999	67	56	75	67	64	75	-999	62	73	-999	65	56	73	66	61	74	-999	61	38	41.25	113	145.57	16	24	15	16	63.5	-999	14	2	12	3	-999	11	0	-999	728	-999	778	-999	727	-999	798	858	-999	-999	71	81	-999	79	69	68	-999	86	74	-999	223	-999	192	-999	-999	171	230	-999	65	-999	75	-999	-999	-999	-999	-999	-999	-999	-999	5	0	1	245	-999	-999	-999	-999	-999	3	-999	71	22	25	14	15	8	5	12	8	9	13	-999	-999	-999	218	350	-999	313	-999	-999	306	404	-999	8	-999	10	8	-999	14	13	-999	-999	0	-999	0	0	1	65	-999	85	90	-999	80	55	75	80	75	75	-999
Z011E0117	4.58	-999	-999	24.46	-999	19.73	75	81	72	54	75	62	64	76	-999	62	75	81	66	-999	75	64	63	75	-999	62	-999	39.285	-999	140.38	-999	21	-999	14.5	-999	72.49	1	7	7	4	-999	5	0	-999	684	640	791	641	712	718	610	715	-999	-999	-999	67	69	84	65	80	79	70	74	-999	-999	130	210	-999	-999	199	169	-999	55	65	50	-999	55	-999	-999	-999	-999	-999	7	4.5	0	-999	132.5	2	-999	-999	-999	-999	0	-999	-999	-999	27	-999	16	6	6	8	5	4	8	-999	-999	-999	128	-999	229	290	-999	-999	310	270	-999	7	5	6	-999	-999	9	6	-999	-999	0	0	0	0	-999	-999	70	55	65	60	55	70	70	52.5	60	60	-999
Z011E0118	4.62	0	23	28.14	22.3	21.51	75	90	67	58	78	68	64	80	-999	64	75	90	66	57	77	68	62	78	-999	64	23	40.55	117	145.16	25	27	15	14	80.1	90.63	10	2	12	5	-999	10	2	-999	686	-999	820	-999	889	827	788	854	831	-999	96	90	-999	92	-999	91	100	87	101	97	305	-999	283	-999	241	207	205	-999	52.5	60	70	-999	55	-999	-999	-999	-999	-999	4	5.5	0	4	-999	4	-999	-999	-999	2	2	-999	96	19	21	10	12	7	8	13	7	10	13	-999	-999	179	180	383	-999	356	-999	317	289	299	-999	8	-999	9	-999	9	9	12	-999	-999	0	0	1	0	1	80	90	60	70	42.5	65	-999	60	30	20	60	-999
Z011E0119	5.455	0	32	28.015	10.7	11.51	71	91	65	-999	73	64	64	76	-999	62	71	90	65	-999	71	64	62	75	-999	62	43	38.685	84	128.935	17	18	19	14	74.6	47.305	6	2	7	4	-999	2	1	-999	560	516	704	459	740	678	618	664	-999	-999	-999	54	46	90	57	74	87	69	63	-999	221	271	222	163	-999	205	239	-999	42.5	-999	30	-999	40	-999	-999	-999	-999	-999	4	4.5	0	-999	160	4	-999	-999	-999	-999	3	-999	65	21	10	14	14	6	3	5	6	2	4	-999	-999	-999	222	283	330	315	235	-999	332	322	-999	13	3	10	10	-999	15	8	-999	-999	0	0	0	0	-999	90	57.5	75	65	35	55	40	-999	70	35	-999	-999
